poi_id,name,category,subcategory,ward_id,district_id,province_id,popularity_tier,source,osm_id,legacy_alias_hint
manual_06_ai_noi_hue,Đại Nội Huế,landmark,heritage_site,,,06,1,manual,,
manual_06_bien_lang_co,Biển Lăng Cô,landmark,beach,,,06,2,manual,,
manual_06_cau_ngoi_thanh_toan,Cầu ngói Thanh Toàn,landmark,heritage_site,,,06,2,manual,,
manual_06_cau_trang_tien,Cầu Tràng Tiền,landmark,bridge,,,06,1,manual,,
manual_06_chua_thien_mu,Chùa Thiên Mụ,landmark,heritage_site,,,06,1,manual,,
manual_06_lang_khai_inh,Lăng Khải Định,landmark,heritage_site,,,06,2,manual,,
manual_06_lang_tu_uc,Lăng Tự Đức,landmark,heritage_site,,,06,2,manual,,
manual_06_song_huong,Sông Hương,landmark,tourist_attraction,,,06,1,manual,,
manual_07_ban_si_thau_chai,Bản Sì Thâu Chải,landmark,tourist_attraction,,,07,2,manual,,
manual_07_ban_sin_suoi_ho,Bản Sin Suối Hồ,landmark,tourist_attraction,,,07,2,manual,,
manual_07_cao_nguyen_sin_ho,Cao nguyên Sìn Hồ,landmark,tourist_attraction,,,07,2,manual,,
manual_07_cau_kinh_rong_may,Cầu kính Rồng Mây,landmark,tourist_attraction,,,07,2,manual,,
manual_07_cho_phien_dao_san,Chợ phiên Dào San,landmark,market,,,07,2,manual,,
manual_07_eo_o_quy_ho,Đèo Ô Quy Hồ,landmark,mountain,,,07,2,manual,,
manual_07_ong_pu_sam_cap,Động Pu Sam Cáp,landmark,tourist_attraction,,,07,2,manual,,
manual_07_thac_tac_tinh,Thác Tác Tình,landmark,tourist_attraction,,,07,2,manual,,
manual_08_bao_tang_chien_thang_lich_su_ien_bien_phu,Bảo tàng Chiến thắng lịch sử Điện Biên Phủ,landmark,museum,,,08,1,manual,,
manual_08_canh_ong_muong_thanh,Cánh đồng Mường Thanh,landmark,tourist_attraction,,,08,2,manual,,
manual_08_eo_pha_in,Đèo Pha Đin,landmark,mountain,,,08,2,manual,,
manual_08_ham_o_cat,Hầm Đờ Cát,landmark,heritage_site,,,08,1,manual,,
manual_08_ho_pa_khoang,Hồ Pá Khoang,landmark,lake,,,08,2,manual,,
manual_08_oi_a1,Đồi A1,landmark,heritage_site,,,08,1,manual,,
manual_08_thanh_ban_phu,Thành Bản Phủ,landmark,heritage_site,,,08,2,manual,,
manual_08_tuong_ai_chien_thang_ien_bien_phu,Tượng đài Chiến thắng Điện Biên Phủ,landmark,monument,,,08,1,manual,,
manual_09_cao_nguyen_moc_chau,Cao nguyên Mộc Châu,landmark,tourist_attraction,,,09,1,manual,,
manual_09_cau_kinh_bach_long,Cầu kính Bạch Long,landmark,tourist_attraction,,,09,2,manual,,
manual_09_hang_doi_moc_chau,Hang Dơi Mộc Châu,landmark,tourist_attraction,,,09,2,manual,,
manual_09_nga_ba_co_noi,Ngã ba Cò Nòi,landmark,heritage_site,,,09,2,manual,,
manual_09_nha_tu_son_la,Nhà tù Sơn La,landmark,heritage_site,,,09,1,manual,,
manual_09_rung_thong_ban_ang,Rừng thông bản Áng,landmark,tourist_attraction,,,09,2,manual,,
manual_09_thac_dai_yem,Thác Dải Yếm,landmark,tourist_attraction,,,09,2,manual,,
manual_09_thuy_ien_son_la,Thủy điện Sơn La,landmark,tourist_attraction,,,09,2,manual,,
manual_10_ai_chi_lang,Ải Chi Lăng,landmark,heritage_site,,,10,1,manual,,
manual_10_cho_ky_lua,Chợ Kỳ Lừa,landmark,market,,,10,2,manual,,
manual_10_cho_ong_kinh,Chợ Đông Kinh,landmark,market,,,10,2,manual,,
manual_10_cua_khau_huu_nghi,Cửa khẩu Hữu Nghị,landmark,tourist_attraction,,,10,1,manual,,
manual_10_en_ky_cung,Đền Kỳ Cùng,landmark,heritage_site,,,10,2,manual,,
manual_10_mau_son,Mẫu Sơn,landmark,mountain,,,10,1,manual,,
manual_10_nui_nang_to_thi,Núi Nàng Tô Thị,landmark,mountain,,,10,2,manual,,
manual_10_ong_tam_thanh,Động Tam Thanh,landmark,tourist_attraction,,,10,1,manual,,
manual_11_ao_co_to,Đảo Cô Tô,landmark,tourist_attraction,,,11,2,manual,,
manual_11_ao_tuan_chau,Đảo Tuần Châu,landmark,tourist_attraction,,,11,2,manual,,
manual_11_bai_chay,Bãi Cháy,landmark,beach,,,11,2,manual,,
manual_11_bai_tam_tra_co,Bãi tắm Trà Cổ,landmark,beach,,,11,2,manual,,
manual_11_cau_bai_chay,Cầu Bãi Cháy,landmark,bridge,,,11,2,manual,,
manual_11_chua_ba_vang,Chùa Ba Vàng,landmark,heritage_site,,,11,1,manual,,
manual_11_chua_yen_tu,Chùa Yên Tử,landmark,heritage_site,,,11,1,manual,,
manual_11_vinh_ha_long,Vịnh Hạ Long,landmark,tourist_attraction,,,11,1,manual,,
manual_12_bien_sam_son,Biển Sầm Sơn,landmark,beach,,,12,1,manual,,
manual_12_cau_ham_rong,Cầu Hàm Rồng,landmark,bridge,,,12,1,manual,,
manual_12_en_ba_trieu,Đền Bà Triệu,landmark,heritage_site,,,12,2,manual,,
manual_12_khu_di_tich_lam_kinh,Khu di tích Lam Kinh,landmark,heritage_site,,,12,2,manual,,
manual_12_ong_tu_thuc,Động Từ Thức,landmark,tourist_attraction,,,12,2,manual,,
manual_12_pu_luong,Pù Luông,landmark,mountain,,,12,2,manual,,
manual_12_suoi_ca_than_cam_luong,Suối cá thần Cẩm Lương,landmark,tourist_attraction,,,12,2,manual,,
manual_12_thanh_nha_ho,Thành nhà Hồ,landmark,heritage_site,,,12,1,manual,,
manual_13_ao_che_thanh_chuong,Đảo Chè Thanh Chương,landmark,tourist_attraction,,,13,2,manual,,
manual_13_bien_cua_lo,Biển Cửa Lò,landmark,beach,,,13,1,manual,,
manual_13_chua_ai_tue,Chùa Đại Tuệ,landmark,heritage_site,,,13,2,manual,,
manual_13_en_cuong,Đền Cuông,landmark,tourist_attraction,,,13,2,manual,,
manual_13_khu_di_tich_kim_lien,Khu di tích Kim Liên,landmark,heritage_site,,,13,1,manual,,
manual_13_quang_truong_ho_chi_minh,Quảng trường Hồ Chí Minh,landmark,monument,,,13,2,manual,,
manual_13_thac_khe_kem,Thác Khe Kèm,landmark,tourist_attraction,,,13,2,manual,,
manual_13_vuon_quoc_gia_pu_mat,Vườn quốc gia Pù Mát,landmark,tourist_attraction,,,13,2,manual,,
manual_14_bien_thien_cam,Biển Thiên Cầm,landmark,beach,,,14,2,manual,,
manual_14_bien_xuan_thanh,Biển Xuân Thành,landmark,beach,,,14,2,manual,,
manual_14_chua_huong_tich,Chùa Hương Tích,landmark,tourist_attraction,,,14,2,manual,,
manual_14_eo_ngang,Đèo Ngang,landmark,mountain,,,14,2,manual,,
manual_14_ho_ke_go,Hồ Kẻ Gỗ,landmark,lake,,,14,2,manual,,
manual_14_khu_di_tich_hai_thuong_lan_ong,Khu di tích Hải Thượng Lãn Ông,landmark,heritage_site,,,14,2,manual,,
manual_14_khu_di_tich_nguyen_du,Khu di tích Nguyễn Du,landmark,heritage_site,,,14,2,manual,,
manual_14_nga_ba_ong_loc,Ngã ba Đồng Lộc,landmark,heritage_site,,,14,1,manual,,
manual_15_chua_phat_tich_truc_lam_ban_gioc,Chùa Phật Tích Trúc Lâm Bản Giốc,landmark,heritage_site,,,15,2,manual,,
manual_15_eo_ma_phuc,Đèo Mã Phục,landmark,mountain,,,15,2,manual,,
manual_15_ho_thang_hen,Hồ Thang Hen,landmark,lake,,,15,2,manual,,
manual_15_khu_di_tich_pac_bo,Khu di tích Pác Bó,landmark,heritage_site,,,15,1,manual,,
manual_15_nui_mat_than,Núi Mắt Thần,landmark,mountain,,,15,2,manual,,
manual_15_ong_nguom_ngao,Động Ngườm Ngao,landmark,tourist_attraction,,,15,2,manual,,
manual_15_rung_tran_hung_ao,Rừng Trần Hưng Đạo,landmark,heritage_site,,,15,1,manual,,
manual_15_thac_ban_gioc,Thác Bản Giốc,landmark,tourist_attraction,,,15,1,manual,,
manual_16_cao_nguyen_a_ong_van,Cao nguyên đá Đồng Văn,landmark,tourist_attraction,,,16,1,manual,,Hà Giang
manual_16_cot_co_lung_cu,Cột cờ Lũng Cú,landmark,monument,,,16,1,manual,,Hà Giang
manual_16_eo_ma_pi_leng,Đèo Mã Pí Lèng,landmark,mountain,,,16,1,manual,,Hà Giang
manual_16_khu_di_tich_tan_trao,Khu di tích Tân Trào,landmark,heritage_site,,,16,1,manual,,Tuyên Quang
manual_16_pho_co_ong_van,Phố cổ Đồng Văn,landmark,heritage_site,,,16,1,manual,,Hà Giang
manual_16_ruong_bac_thang_hoang_su_phi,Ruộng bậc thang Hoàng Su Phì,landmark,tourist_attraction,,,16,2,manual,,Hà Giang
manual_16_thac_ban_ba,Thác Bản Ba,landmark,tourist_attraction,,,16,2,manual,,Tuyên Quang
manual_16_thanh_nha_mac,Thành nhà Mạc,landmark,heritage_site,,,16,2,manual,,Tuyên Quang
manual_17_ban_cat,Bản Cát,landmark,tourist_attraction,,,17,2,manual,,Lào Cai
manual_17_cho_tinh_bac_ha,Chợ tình Bắc Hà,landmark,market,,,17,2,manual,,Lào Cai
manual_17_inh_fansipan,Đỉnh Fansipan,landmark,mountain,,,17,1,manual,,Lào Cai
manual_17_nha_tho_a_sa_pa,Nhà thờ đá Sa Pa,landmark,tourist_attraction,,,17,2,manual,,Lào Cai
manual_17_ruong_bac_thang_mu_cang_chai,Ruộng bậc thang Mù Cang Chải,landmark,tourist_attraction,,,17,1,manual,,Yên Bái
manual_17_sa_pa,Sa Pa,landmark,tourist_attraction,,,17,1,manual,,Lào Cai
manual_17_suoi_giang,Suối Giàng,landmark,tourist_attraction,,,17,2,manual,,Yên Bái
manual_17_y_ty,Y Tý,landmark,tourist_attraction,,,17,2,manual,,Lào Cai
manual_18_bao_tang_van_hoa_cac_dan_toc_viet_nam,Bảo tàng Văn hóa các dân tộc Việt Nam,landmark,museum,,,18,2,manual,,Thái Nguyên
manual_18_en_uom,Đền Đuổm,landmark,heritage_site,,,18,2,manual,,Thái Nguyên
manual_18_ho_ba_be,Hồ Ba Bể,landmark,lake,,,18,1,manual,,Bắc Kạn
manual_18_ho_nui_coc,Hồ Núi Cốc,landmark,lake,,,18,1,manual,,Thái Nguyên
manual_18_khu_di_tich_atk_inh_hoa,Khu di tích ATK Định Hóa,landmark,heritage_site,,,18,2,manual,,Thái Nguyên
manual_18_khu_di_tich_nui_van_nui_vo,Khu di tích Núi Văn Núi Võ,landmark,heritage_site,,,18,2,manual,,Thái Nguyên
manual_18_ong_puong,Động Puông,landmark,tourist_attraction,,,18,2,manual,,Bắc Kạn
manual_18_thac_na_khoang,Thác Nà Khoang,landmark,tourist_attraction,,,18,2,manual,,Bắc Kạn
manual_19_am_ao_chau,Đầm Ao Châu,landmark,lake,,,19,2,manual,,Phú Thọ
manual_19_ban_lac_mai_chau,Bản Lác Mai Châu,landmark,tourist_attraction,,,19,1,manual,,Hòa Bình
manual_19_en_hung,Đền Hùng,landmark,heritage_site,,,19,1,manual,,Phú Thọ
manual_19_ho_hoa_binh,Hồ Hòa Bình,landmark,lake,,,19,2,manual,,Hòa Bình
manual_19_khu_du_lich_nuoc_khoang_nong_thanh_thuy,Khu du lịch nước khoáng nóng Thanh Thủy,landmark,tourist_attraction,,,19,2,manual,,Phú Thọ
manual_19_tam_ao,Tam Đảo,landmark,mountain,,,19,1,manual,,Vĩnh Phúc
manual_19_thien_vien_truc_lam_tay_thien,Thiền viện Trúc Lâm Tây Thiên,landmark,heritage_site,,,19,1,manual,,Vĩnh Phúc
manual_19_thuy_ien_hoa_binh,Thủy điện Hòa Bình,landmark,tourist_attraction,,,19,2,manual,,Hòa Bình
manual_20_chua_but_thap,Chùa Bút Tháp,landmark,heritage_site,,,20,1,manual,,Bắc Ninh
manual_20_chua_dau,Chùa Dâu,landmark,heritage_site,,,20,2,manual,,Bắc Ninh
manual_20_chua_phat_tich,Chùa Phật Tích,landmark,heritage_site,,,20,2,manual,,Bắc Ninh
manual_20_chua_vinh_nghiem,Chùa Vĩnh Nghiêm,landmark,heritage_site,,,20,1,manual,,Bắc Giang
manual_20_en_ba_chua_kho,Đền Bà Chúa Kho,landmark,heritage_site,,,20,2,manual,,Bắc Ninh
manual_20_en_o,Đền Đô,landmark,heritage_site,,,20,1,manual,,Bắc Ninh
manual_20_khu_du_lich_tam_linh_tay_yen_tu,Khu du lịch tâm linh Tây Yên Tử,landmark,tourist_attraction,,,20,2,manual,,Bắc Giang
manual_20_suoi_mo,Suối Mỡ,landmark,tourist_attraction,,,20,2,manual,,Bắc Giang
manual_21_bien_ong_chau,Biển Đồng Châu,landmark,beach,,,21,2,manual,,Thái Bình
manual_21_chua_chuong,Chùa Chuông,landmark,heritage_site,,,21,2,manual,,Hưng Yên
manual_21_chua_keo,Chùa Keo,landmark,heritage_site,,,21,1,manual,,Thái Bình
manual_21_en_a_hoa,Đền Đa Hòa,landmark,heritage_site,,,21,2,manual,,Hưng Yên
manual_21_khu_di_tich_en_tran_thai_binh,Khu di tích đền Trần Thái Bình,landmark,heritage_site,,,21,2,manual,,Thái Bình
manual_21_lang_nom_chua_nom,Làng Nôm Chùa Nôm,landmark,heritage_site,,,21,2,manual,,Hưng Yên
manual_21_pho_hien,Phố Hiến,landmark,heritage_site,,,21,1,manual,,Hưng Yên
manual_21_van_mieu_xich_ang,Văn miếu Xích Đằng,landmark,heritage_site,,,21,2,manual,,Hưng Yên
manual_22_chua_bai_inh,Chùa Bái Đính,landmark,heritage_site,,,22,1,manual,,Ninh Bình
manual_22_chua_tam_chuc,Chùa Tam Chúc,landmark,heritage_site,,,22,1,manual,,Hà Nam
manual_22_co_o_hoa_lu,Cố đô Hoa Lư,landmark,heritage_site,,,22,1,manual,,Ninh Bình
manual_22_en_tran_nam_inh,Đền Trần Nam Định,landmark,heritage_site,,,22,1,manual,,Nam Định
manual_22_nha_tho_a_phat_diem,Nhà thờ đá Phát Diệm,landmark,heritage_site,,,22,1,manual,,Ninh Bình
manual_22_quan_the_danh_thang_trang_an,Quần thể danh thắng Tràng An,landmark,tourist_attraction,,,22,1,manual,,Ninh Bình
manual_22_tam_coc_bich_ong,Tam Cốc Bích Động,landmark,tourist_attraction,,,22,1,manual,,Ninh Bình
manual_22_vuon_quoc_gia_cuc_phuong,Vườn quốc gia Cúc Phương,landmark,tourist_attraction,,,22,1,manual,,Ninh Bình
manual_23_cau_hien_luong,Cầu Hiền Lương,landmark,bridge,,,23,1,manual,,Quảng Trị
manual_23_ia_ao_vinh_moc,Địa đạo Vịnh Mốc,landmark,heritage_site,,,23,2,manual,,Quảng Trị
manual_23_nghia_trang_liet_si_truong_son,Nghĩa trang liệt sĩ Trường Sơn,landmark,heritage_site,,,23,1,manual,,Quảng Trị
manual_23_ong_phong_nha,Động Phong Nha,landmark,tourist_attraction,,,23,1,manual,,Quảng Bình
manual_23_ong_thien_uong,Động Thiên Đường,landmark,tourist_attraction,,,23,1,manual,,Quảng Bình
manual_23_song_ben_hai,Sông Bến Hải,landmark,tourist_attraction,,,23,1,manual,,Quảng Trị
manual_23_suoi_nuoc_mooc,Suối nước Moọc,landmark,tourist_attraction,,,23,2,manual,,Quảng Bình
manual_23_thanh_co_quang_tri,Thành cổ Quảng Trị,landmark,heritage_site,,,23,1,manual,,Quảng Trị
manual_24_ao_ly_son,Đảo Lý Sơn,landmark,tourist_attraction,,,24,1,manual,,Quảng Ngãi
manual_24_bai_bien_sa_huynh,Bãi biển Sa Huỳnh,landmark,beach,,,24,2,manual,,Quảng Ngãi
manual_24_cau_treo_kon_klor,Cầu treo Kon Klor,landmark,bridge,,,24,2,manual,,Kon Tum
manual_24_khu_chung_tich_son_my,Khu chứng tích Sơn Mỹ,landmark,heritage_site,,,24,2,manual,,Quảng Ngãi
manual_24_nha_rong_kon_klor,Nhà rông Kon Klor,landmark,heritage_site,,,24,2,manual,,Kon Tum
manual_24_nha_tho_go_kon_tum,Nhà thờ gỗ Kon Tum,landmark,tourist_attraction,,,24,1,manual,,Kon Tum
manual_24_nui_ngoc_linh,Núi Ngọc Linh,landmark,mountain,,,24,2,manual,,Kon Tum
manual_24_nui_thien_an,Núi Thiên Ấn,landmark,mountain,,,24,2,manual,,Quảng Ngãi
manual_25_bien_ho_pleiku,Biển Hồ Pleiku,landmark,lake,,,25,1,manual,,Gia Lai
manual_25_bien_quy_nhon,Biển Quy Nhơn,landmark,beach,,,25,1,manual,,Bình Định
manual_25_eo_gio_quy_nhon,Eo Gió Quy Nhơn,landmark,tourist_attraction,,,25,1,manual,,Bình Định
manual_25_ky_co,Kỳ Co,landmark,beach,,,25,2,manual,,Bình Định
manual_25_nui_lua_chu_ang_ya,Núi lửa Chư Đăng Ya,landmark,mountain,,,25,2,manual,,Gia Lai
manual_25_thac_phu_cuong,Thác Phú Cường,landmark,tourist_attraction,,,25,2,manual,,Gia Lai
manual_25_thap_cham_duong_long,Tháp Chăm Dương Long,landmark,heritage_site,,,25,2,manual,,Bình Định
manual_25_thap_oi,Tháp Đôi,landmark,heritage_site,,,25,2,manual,,Bình Định
manual_26_ao_binh_ba,Đảo Bình Ba,landmark,tourist_attraction,,,26,2,manual,,Khánh Hòa
manual_26_oi_cat_nam_cuong,Đồi cát Nam Cương,landmark,tourist_attraction,,,26,2,manual,,Ninh Thuận
manual_26_thap_ba_ponagar,Tháp Bà Ponagar,landmark,heritage_site,,,26,1,manual,,Khánh Hòa
manual_26_thap_cham_poklong_garai,Tháp Chàm Poklong Garai,landmark,heritage_site,,,26,1,manual,,Ninh Thuận
manual_26_vinh_cam_ranh,Vịnh Cam Ranh,landmark,tourist_attraction,,,26,2,manual,,Khánh Hòa
manual_26_vinh_nha_trang,Vịnh Nha Trang,landmark,beach,,,26,1,manual,,Khánh Hòa
manual_26_vinh_vinh_hy,Vịnh Vĩnh Hy,landmark,tourist_attraction,,,26,2,manual,,Ninh Thuận
manual_26_vinwonders_nha_trang,VinWonders Nha Trang,landmark,tourist_attraction,,,26,2,manual,,Khánh Hòa
manual_27_bau_trang,Bàu Trắng,landmark,tourist_attraction,,,27,2,manual,,Bình Thuận
manual_27_ho_xuan_huong,Hồ Xuân Hương,landmark,lake,,,27,1,manual,,Lâm Đồng
manual_27_oi_cat_mui_ne,Đồi cát Mũi Né,landmark,tourist_attraction,,,27,1,manual,,Bình Thuận
manual_27_oi_che_cau_at,Đồi chè Cầu Đất,landmark,tourist_attraction,,,27,2,manual,,Lâm Đồng
manual_27_thac_datanla,Thác Datanla,landmark,tourist_attraction,,,27,2,manual,,Lâm Đồng
manual_27_thac_dray_sap,Thác Dray Sap,landmark,tourist_attraction,,,27,2,manual,,Đắk Nông
manual_27_thac_pongour,Thác Pongour,landmark,tourist_attraction,,,27,1,manual,,Lâm Đồng
manual_27_vuon_quoc_gia_ta_ung,Vườn quốc gia Tà Đùng,landmark,tourist_attraction,,,27,1,manual,,Đắk Nông
manual_28_bai_xep,Bãi Xép,landmark,tourist_attraction,,,28,2,manual,,Phú Yên
manual_28_buon_on,Buôn Đôn,landmark,tourist_attraction,,,28,2,manual,,Đắk Lắk
manual_28_ganh_a_ia,Gành Đá Đĩa,landmark,tourist_attraction,,,28,1,manual,,Phú Yên
manual_28_ho_lak,Hồ Lắk,landmark,lake,,,28,1,manual,,Đắk Lắk
manual_28_thac_dray_nur,Thác Dray Nur,landmark,tourist_attraction,,,28,2,manual,,Đắk Lắk
manual_28_thac_krong_kmar,Thác Krông Kmar,landmark,tourist_attraction,,,28,2,manual,,Đắk Lắk
manual_28_thap_nhan,Tháp Nhạn,landmark,heritage_site,,,28,1,manual,,Phú Yên
manual_28_vinh_xuan_ai,Vịnh Xuân Đài,landmark,beach,,,28,2,manual,,Phú Yên
manual_29_chua_ong_ong_nai,Chùa Ông Đồng Nai,landmark,heritage_site,,,29,2,manual,,Đồng Nai
manual_29_ho_tri_an,Hồ Trị An,landmark,lake,,,29,2,manual,,Đồng Nai
manual_29_nui_ba_ra,Núi Bà Rá,landmark,mountain,,,29,2,manual,,Bình Phước
manual_29_soc_bom_bo,Sóc Bom Bo,landmark,heritage_site,,,29,2,manual,,Bình Phước
manual_29_thac_giang_ien,Thác Giang Điền,landmark,tourist_attraction,,,29,2,manual,,Đồng Nai
manual_29_van_mieu_tran_bien,Văn miếu Trấn Biên,landmark,heritage_site,,,29,1,manual,,Đồng Nai
manual_29_vuon_quoc_gia_bu_gia_map,Vườn quốc gia Bù Gia Mập,landmark,tourist_attraction,,,29,2,manual,,Bình Phước
manual_29_vuon_quoc_gia_nam_cat_tien,Vườn quốc gia Nam Cát Tiên,landmark,tourist_attraction,,,29,1,manual,,Đồng Nai
manual_30_can_cu_trung_uong_cuc_mien_nam,Căn cứ Trung ương Cục miền Nam,landmark,heritage_site,,,30,1,manual,,Tây Ninh
manual_30_chua_ton_thanh,Chùa Tôn Thạnh,landmark,heritage_site,,,30,2,manual,,Long An
manual_30_ho_dau_tieng,Hồ Dầu Tiếng,landmark,lake,,,30,1,manual,,Tây Ninh
manual_30_khu_di_tich_vam_nhut_tao,Khu di tích Vàm Nhựt Tảo,landmark,heritage_site,,,30,2,manual,,Long An
manual_30_khu_du_lich_lang_noi_tan_lap,Khu du lịch Làng nổi Tân Lập,landmark,tourist_attraction,,,30,2,manual,,Long An
manual_30_nui_ba_en,Núi Bà Đen,landmark,mountain,,,30,1,manual,,Tây Ninh
manual_30_toa_thanh_cao_ai_tay_ninh,Toà Thánh Cao Đài Tây Ninh,landmark,heritage_site,,,30,1,manual,,Tây Ninh
manual_30_vuon_quoc_gia_lo_go_xa_mat,Vườn quốc gia Lò Gò Xa Mát,landmark,tourist_attraction,,,30,2,manual,,Tây Ninh
manual_31_ao_ba_om,Ao Bà Om,landmark,lake,,,31,1,manual,,Trà Vinh
manual_31_bien_ba_ong,Biển Ba Động,landmark,beach,,,31,2,manual,,Trà Vinh
manual_31_cho_noi_tra_on,Chợ nổi Trà Ôn,landmark,market,,,31,2,manual,,Vĩnh Long
manual_31_chua_ang,Chùa Âng,landmark,heritage_site,,,31,2,manual,,Trà Vinh
manual_31_con_phung,Cồn Phụng,landmark,tourist_attraction,,,31,1,manual,,Bến Tre
manual_31_cu_lao_an_binh,Cù lao An Bình,landmark,tourist_attraction,,,31,2,manual,,Vĩnh Long
manual_31_khu_di_tich_nguyen_inh_chieu,Khu di tích Nguyễn Đình Chiểu,landmark,heritage_site,,,31,2,manual,,Bến Tre
